manufacturer,foundation,founder,location_city,industry,owner
destineer inc,,PeterTamte,,VideogameindustryVideogames,
destineer publishing,,PeterTamte,,VideogameindustryVideogames,
steinberg media technologies,1984,KarlSteinberg ManfredRürup,Hamburg,SoftwareDevelopment,
ncsoft,1997,,,VideogameindustryVideogames,
sony,1946,splainlist*MasaruIbuka*AkioMorita,,Conglomerate(company)Conglomerate,
2k games,,,,VideogameindustryVideogames,
palo alto software,1997,,,Software,sVistaEquityPartners
nc soft,1997,,,VideogameindustryVideogames,
LINKSYS,1988,VictorTsao<br>JanieTsao,"Irvine,California",Networkingequipment,
Netgear,,,,Networkingequipment,
Belkin,1983,,,Consumerelectronics,
Tripp Lite,1922,GrahamTrippe,"Chicago,Illinois","Computerhardware,Electricalequipment",
Sony,1946,splainlist*MasaruIbuka*AkioMorita,,Conglomerate(company)Conglomerate,
D-Link,1986,,Taipei,Networkingequipment,
Sony Computer Electronic,1993,,,VideogameindustryVideogames,
Sennheiser,1945,FritzSennheiser,,Audioelectronics,Sennheiserfamily
Garmin,1.989,sGaryBurrell<br>MinKao,,Technology,
Olympus,,TakeshiYamashita<refname'MtOlymp'>citeweburlhttp://www.olympus-global.com/en/corc/history/about/titleOlympusHistory:OriginofOurNameaccessdate16January2007</ref>,,Electronics,sMitsubishiUFJFinancialGroup<refname4-traders>http://www.4-traders.com/OLYMPUS-CORP-6491236/company/</ref>Small(4.60%)SumitomoMitsuiFinancialGroup<refname4-traders/>Small(2.44%)
Plantronics Bluetooth,1961,,,Consumerelectronics,
"SQUARE ENIX, LLC",1.986,MasafumiMiyamoto,,VideogameindustryVideogames,
DeLonghi,1902,,Treviso,Homeappliances,
Nikon,1917,,,Consumerelectronics,
Audiovox,1.96,JohnJ.Shalam,,,
Xm,1988,,,Radiobroadcasting,
Lowepro,1967,"GregLowe,MikeLowe","Petaluma,CA",,
GE,1892,sublclassnowrapCharlesA.CoffinElihuThomsonEdwinJ.HoustonJ.P.MorganThomasEdison,,Conglomerate(company)Conglomerate,
Uniden,1966,HideroFujimoto(CEO),"Chūō,TokyoChuoku,Tokyo",,
Microsoft,,,,Unbulletedlist,
LG Electronics,19581,KooIn-hwoi(Theoriginal''GoldStar''),,nowrapConsumerelectronicsHomeappliances,
Nintendo Of America,,FusajiroYamauchi,,Unbulletedlist,
Toshiba,,,,Conglomerate(company)Conglomerate,
Cuisinart,1971,CarlSontheimer,"Stamford,Connecticut",ConsumerGoods,
Nyko,1996,,,,
Oregon Scientific,1989,,,consumerelectronics,
Monster Cable,1978,,,Consumerelectronics,
Frigidaire,1918,,,"Majorappliances,Smallappliances",
TRANSCEND INFORMATION,1988,Chung-WonShu,"Taipei,Taiwan",DatastoragedeviceStoragedevices,
Case Logic,1942,ErikThulin,,nowrapConsumergoods,
HOOVER COMPANY,1908,WilliamHenryHoover,"Charlotte,NC",Floorcare,
Altec Lansing,1.927,,,Audioelectronics,sInfinityLifestyleBrands
Yamaha,1887,,"Hamamatsu,ShizuokaPrefectureShizuoka","	Multi-industry(company)Multi-industry",
Plantronics,1961,,,Consumerelectronics,
